Марка;Цена;Метро;Ссылка
Lexus ES, 2019;2 700 000  ₽;Строгино;https://www.avito.ru/moskva/avtomobili/lexus_es_2019_1926681747
Lexus RX, 2020;5 059 000  ₽;Медведково;https://www.avito.ru/moskva/avtomobili/lexus_rx_2020_1971173290
Lexus LX, 2020;7 992 000  ₽;Крылатское;https://www.avito.ru/moskva/avtomobili/lexus_lx_2020_1970966213
Lexus RX, 2014;2 150 000  ₽;Алма-Атинская;https://www.avito.ru/moskva/avtomobili/lexus_rx_2014_1994449378
Lexus GS, 2006;700 000  ₽;Бабушкинская;https://www.avito.ru/moskva/avtomobili/lexus_gs_2006_1932281882
Lexus NX, 2020;2 997 000  ₽;Угрешская;https://www.avito.ru/moskva/avtomobili/lexus_nx_2020_1997310643
Lexus LX, 2020;7 806 000  ₽;Угрешская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2020_1997439098
Lexus NX, 2016;1 950 000  ₽;Первомайская;https://www.avito.ru/moskva/avtomobili/lexus_nx_2016_1996660392
Lexus RX, 2011;1 470 000  ₽;Курская;https://www.avito.ru/moskva/avtomobili/lexus_rx_2011_2004216819
Lexus CT, 2011;1 000 000  ₽;Водный стадион;https://www.avito.ru/moskva/avtomobili/lexus_ct_2011_1955567889
Lexus LS, 2018;5 200 000  ₽;Крылатское;https://www.avito.ru/moskva/avtomobili/lexus_ls_2018_2009218468
Lexus IS, 2006;450 000  ₽;Улица Скобелевская;https://www.avito.ru/moskva/avtomobili/lexus_is_2006_1997072185
Lexus LS, 2007;620 000  ₽;Ботанический сад;https://www.avito.ru/moskva/avtomobili/lexus_ls_2007_1890239791
Lexus RX, 2014;1 580 000  ₽;Медведково;https://www.avito.ru/moskva/avtomobili/lexus_rx_2014_1987717765
Lexus RX, 2013;2 107 000  ₽;Ясенево;https://www.avito.ru/moskva/avtomobili/lexus_rx_2013_2012741189
Lexus CT, 2012;1 329 000  ₽;Алтуфьево;https://www.avito.ru/moskva/avtomobili/lexus_ct_2012_1981598624
Lexus NX, 2020;3 372 500  ₽;Угрешская;https://www.avito.ru/moskva/avtomobili/lexus_nx_2020_1997070457
Lexus GS, 2013;1 350 000  ₽;Раменки;https://www.avito.ru/moskva/avtomobili/lexus_gs_2013_1977706177
Lexus ES, 2014;1 325 000  ₽;Румянцево;https://www.avito.ru/moskva/avtomobili/lexus_es_2014_1991326501
Lexus LX, 2008;2 000 000  ₽;Ломоносовский проспект;https://www.avito.ru/moskva/avtomobili/lexus_lx_2008_2006707727
Lexus RX, 2015;2 398 000  ₽;Угрешская;https://www.avito.ru/moskva/avtomobili/lexus_rx_2015_1998416160
Lexus NX, 2016;1 900 000  ₽;Деловой центр (МЦК);https://www.avito.ru/moskva/avtomobili/lexus_nx_2016_1864136051
Lexus RX, 2020;4 280 000  ₽;Крылатское;https://www.avito.ru/moskva/avtomobili/lexus_rx_2020_1971832692
Lexus NX, 2016;2 300 000  ₽;Селигерская;https://www.avito.ru/moskva/avtomobili/lexus_nx_2016_1993063752
Lexus RX, 2007;849 000  ₽;Медведково;https://www.avito.ru/moskva/avtomobili/lexus_rx_2007_1996908960
Lexus GS, 2007;800 000  ₽;Щелковская;https://www.avito.ru/moskva/avtomobili/lexus_gs_2007_1994437701
Lexus LX, 2020;7 806 000  ₽;Угрешская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2020_1965781395
Lexus LX, 2019;6 500 000  ₽;Аннино;https://www.avito.ru/moskva/avtomobili/lexus_lx_2019_1996098765
Lexus LX, 2020;7 844 000  ₽;Угрешская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2020_1997504889
Lexus RX, 2017;3 100 000  ₽;ЗИЛ;https://www.avito.ru/moskva/avtomobili/lexus_rx_2017_2007169138
Lexus ES, 2014;1 490 000  ₽;Новокосино;https://www.avito.ru/moskva/avtomobili/lexus_es_2014_1864581834
Lexus NX, 2020;3 303 500  ₽;Угрешская;https://www.avito.ru/moskva/avtomobili/lexus_nx_2020_1933655573
Lexus LX, 2019;6 455 000  ₽;Ясенево;https://www.avito.ru/moskva/avtomobili/lexus_lx_2019_2012262541
Lexus LX, 2020;7 349 000  ₽;Угрешская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2020_1997837831
Lexus LX, 2003;1 200 000  ₽;Бибирево;https://www.avito.ru/moskva/avtomobili/lexus_lx_2003_1875997788
Lexus GS, 2012;1 450 000  ₽;Бабушкинская;https://www.avito.ru/moskva/avtomobili/lexus_gs_2012_2003706073
Lexus IS, 2015;1 250 000  ₽;Шоссе Энтузиастов;https://www.avito.ru/moskva/avtomobili/lexus_is_2015_2000795269
Lexus RX, 2003;750 000  ₽;Домодедовская;https://www.avito.ru/moskva/avtomobili/lexus_rx_2003_1982312853
Lexus LS, 2008;1 100 000  ₽;Крылатское;https://www.avito.ru/moskva/avtomobili/lexus_ls_2008_1859103515
Lexus LX, 2003;1 399 000  ₽;Пятницкое шоссе;https://www.avito.ru/moskva/avtomobili/lexus_lx_2003_1985889679
Lexus ES, 2012;1 420 000  ₽;Планерная;https://www.avito.ru/moskva/avtomobili/lexus_es_2012_1970509882
Lexus ES, 2018;1 950 000  ₽;Южная;https://www.avito.ru/moskva/avtomobili/lexus_es_2018_1987632919
Lexus LS, 2009;880 000  ₽;Новокосино;https://www.avito.ru/moskva/avtomobili/lexus_ls_2009_1979189832
Lexus LS, 2014;2 200 000  ₽;Улица академика Янгеля;https://www.avito.ru/moskva/avtomobili/lexus_ls_2014_1819401220
Lexus ES, 2012;1 099 000  ₽;Домодедовская;https://www.avito.ru/moskva/avtomobili/lexus_es_2012_1978470811
Lexus LX, 2016;4 400 000  ₽;Спортивная;https://www.avito.ru/moskva/avtomobili/lexus_lx_2016_1994288137
Lexus RX, 2008;949 000  ₽;Теплый стан;https://www.avito.ru/moskva/avtomobili/lexus_rx_2008_1990212832
Lexus RX, 2000;650 000  ₽;Крылатское;https://www.avito.ru/moskva/avtomobili/lexus_rx_2000_1986554221
Lexus IS, 2014;1 550 000  ₽;Улица академика Янгеля;https://www.avito.ru/moskva/avtomobili/lexus_is_2014_2006818428
Lexus NX, 2020;3 019 500  ₽;Угрешская;https://www.avito.ru/moskva/avtomobili/lexus_nx_2020_1997842386
Lexus RX, 2013;1 649 000  ₽;Южная;https://www.avito.ru/moskva/avtomobili/lexus_rx_2013_2009310118
Lexus GS, 2010;865 000  ₽;Кантемировская;https://www.avito.ru/moskva/avtomobili/lexus_gs_2010_1980140558
Lexus GX, 2014;2 749 000  ₽;Крестьянская застава;https://www.avito.ru/moskva/avtomobili/lexus_gx_2014_1926715261
Lexus NX, 2020;3 020 000  ₽;Угрешская;https://www.avito.ru/moskva/avtomobili/lexus_nx_2020_1933515511
Lexus LS, 2012;1 300 000  ₽;Планерная;https://www.avito.ru/moskva/avtomobili/lexus_ls_2012_1975655354
Lexus IS, 1999;320 000  ₽;Домодедовская;https://www.avito.ru/moskva/avtomobili/lexus_is_1999_1988880743
Lexus LX, 2012;2 747 913  ₽;Планерная;https://www.avito.ru/moskva/avtomobili/lexus_lx_2012_1970613053
Lexus NX, 2018;3 049 000  ₽;Планерная;https://www.avito.ru/moskva/avtomobili/lexus_nx_2018_1970711793
Lexus RX, 2013;1 753 000  ₽;Домодедовская;https://www.avito.ru/moskva/avtomobili/lexus_rx_2013_2009994751
Lexus LX, 2018;5 750 000  ₽;Курская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2018_1980487072
Lexus IS, 2010;1 000 000  ₽;ЦСКА;https://www.avito.ru/moskva/avtomobili/lexus_is_2010_1853819364
Lexus LX, 2007;1 735 000  ₽;Медведково;https://www.avito.ru/moskva/avtomobili/lexus_lx_2007_1981092557
Lexus LX, 2002;1 300 000  ₽;Фрунзенская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2002_1867070285
Lexus RX, 1999;367 000  ₽;Ясенево;https://www.avito.ru/moskva/avtomobili/lexus_rx_1999_1980270863
Lexus LX, 2020;7 595 000  ₽;Угрешская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2020_1997109077
Lexus GS, 2005;430 000  ₽;Крылатское;https://www.avito.ru/moskva/avtomobili/lexus_gs_2005_1846472932
Lexus RX, 2001;549 960  ₽;Некрасовка;https://www.avito.ru/moskva/avtomobili/lexus_rx_2001_1991389467
Lexus NX, 2017;2 345 000  ₽;Площадь революции;https://www.avito.ru/moskva/avtomobili/lexus_nx_2017_2010945853
Lexus RX, 2019;3 250 000  ₽;Проспект Вернадского;https://www.avito.ru/moskva/avtomobili/lexus_rx_2019_1994079595
Lexus ES, 2013;1 400 000  ₽;Перово;https://www.avito.ru/moskva/avtomobili/lexus_es_2013_1718646927
Lexus ES, 2014;1 458 000  ₽;Румянцево;https://www.avito.ru/moskva/avtomobili/lexus_es_2014_1991715495
Lexus IS, 2002;470 000  ₽;Площадь революции;https://www.avito.ru/moskva/avtomobili/lexus_is_2002_1884769857
Lexus GX, 2004;1 100 000  ₽;Улица 1905 года;https://www.avito.ru/moskva/avtomobili/lexus_gx_2004_1990154242
Lexus LX, 2019;8 100 000  ₽;Шелепиха;https://www.avito.ru/moskva/avtomobili/lexus_lx_2019_2011288677
Lexus ES, 2014;1 449 000  ₽;Домодедовская;https://www.avito.ru/moskva/avtomobili/lexus_es_2014_2006162306
Lexus LX, 2008;1 680 000  ₽;Митино;https://www.avito.ru/moskva/avtomobili/lexus_lx_2008_2005903365
Lexus IS, 2007;520 000  ₽;Говорово;https://www.avito.ru/moskva/avtomobili/lexus_is_2007_1972449349
Lexus GS, 2008;750 000  ₽;Боровское шоссе;https://www.avito.ru/moskva/avtomobili/lexus_gs_2008_1973300278
Lexus LX, 2016;4 597 000  ₽;Ясенево;https://www.avito.ru/moskva/avtomobili/lexus_lx_2016_2012425125
Lexus LX, 2017;4 990 000  ₽;Университет;https://www.avito.ru/moskva/avtomobili/lexus_lx_2017_1986446973
Lexus NX, 2016;1 897 000  ₽;Саларьево;https://www.avito.ru/moskva/avtomobili/lexus_nx_2016_2004051198
Lexus LX, 2014;3 475 000  ₽;Домодедовская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2014_2007198834
Lexus GS, 2007;750 000  ₽;Варшавская;https://www.avito.ru/moskva/avtomobili/lexus_gs_2007_1986000757
Lexus IS, 2013;1 850 000  ₽;Марьина Роща;https://www.avito.ru/moskva/avtomobili/lexus_is_2013_2011802710
Lexus RX, 2008;849 000  ₽;Румянцево;https://www.avito.ru/moskva/avtomobili/lexus_rx_2008_1991732657
Lexus SC, 2006;1 100 000  ₽;Сухаревская;https://www.avito.ru/moskva/avtomobili/lexus_sc_2006_1406376996
Lexus IS, 2014;1 320 000  ₽;Пятницкое шоссе;https://www.avito.ru/moskva/avtomobili/lexus_is_2014_1976367441
Lexus LX, 2019;7 070 000  ₽;Кунцевская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2019_2012178914
Lexus RX, 2008;1 100 000  ₽;Академическая;https://www.avito.ru/moskva/avtomobili/lexus_rx_2008_2007141392
Lexus LX, 2016;5 999 999  ₽;Маяковская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2016_1915189248
Lexus LX, 2017;6 489 000  ₽;Тульская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2017_1944235408
Lexus RX, 2011;1 237 000  ₽;Ясенево;https://www.avito.ru/moskva/avtomobili/lexus_rx_2011_1980376672
Lexus RX, 2016;3 160 000  ₽;ЦСКА;https://www.avito.ru/moskva/avtomobili/lexus_rx_2016_1950244609
Lexus NX, 2016;2 300 000  ₽;Планерная;https://www.avito.ru/moskva/avtomobili/lexus_nx_2016_2010258442
Lexus ES, 2015;1 700 000  ₽;Щелковская;https://www.avito.ru/moskva/avtomobili/lexus_es_2015_2007828599
Lexus RX, 2013;1 590 000  ₽;Ховрино;https://www.avito.ru/moskva/avtomobili/lexus_rx_2013_1938794989
Lexus RX, 2005;740 000  ₽;Орехово;https://www.avito.ru/moskva/avtomobili/lexus_rx_2005_1994368656
Lexus RX, 2019;4 950 000  ₽;Лефортово;https://www.avito.ru/moskva/avtomobili/lexus_rx_2019_2006895496
Lexus IS, 2006;540 000  ₽;Площадь революции;https://www.avito.ru/moskva/avtomobili/lexus_is_2006_1960842252
Lexus LX, 2016;4 850 000  ₽;Бауманская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2016_1992336846
Lexus RX, 2003;600 000  ₽;Алтуфьево;https://www.avito.ru/moskva/avtomobili/lexus_rx_2003_1987371047
Lexus RX, 2011;1 650 000  ₽;Новослободская;https://www.avito.ru/moskva/avtomobili/lexus_rx_2011_1983371814
Lexus IS, 2018;1 798 000  ₽;Жулебино;https://www.avito.ru/moskva/avtomobili/lexus_is_2018_1908170156
Lexus RX, 2013;1 950 000  ₽;Проспект Вернадского;https://www.avito.ru/moskva/avtomobili/lexus_rx_2013_1973627926
Lexus RX, 2007;1 099 000  ₽;Бабушкинская;https://www.avito.ru/moskva/avtomobili/lexus_rx_2007_2013895140
Lexus GX, 2016;600 000  ₽;Славянский бульвар;https://www.avito.ru/moskva/avtomobili/lexus_gx_2016_1880943590
